Аффирмация,Практика
Я открыт(а) любви и принимаю её в свою жизнь.,"Вспомни момент, когда ты чувствовал любовь, и улыбнись этому воспоминанию."
Я достоин(а) настоящих чувств.,"Напиши на бумаге три качества, за которые ты ценишь себя."
Мое сердце свободно и готово к взаимности.,"Сделай глубокий вдох и представь, что сердце наполняется светом."
Я умею принимать любовь без страха.,Скажи себе вслух: «Я готов(а) к любви».
Я позволяю себе быть любимым(ой).,Напиши сообщение благодарности близкому человеку.
Я отпускаю прошлое и впускаю новые чувства.,"Отпусти одно негативное воспоминание, связанное с отношениями."
Я заслуживаю уважения и нежности.,Сделай паузу и обними себя.
"Я доверяю любви, которая приходит в мою жизнь.","Закрой глаза и представь, как любовь приходит в твою жизнь."
Моя душа настроена на гармоничные отношения.,"Составь список того, что важно для тебя в отношениях."
Я открыт(а) для счастья в любви.,"Сделай три глубоких вдоха и выдоха, думая о счастье."
В моих отношениях есть забота и уважение.,Скажи партнёру комплимент.
Каждый день мы становимся ближе друг к другу.,Обними близкого человека.
Я создаю пространство доверия и тепла.,Поделись чем-то хорошим с партнёром.
Наши отношения основаны на честности.,Запиши одно честное желание о ваших отношениях.
Любовь между нами крепнет с каждым днем.,Скажи слова благодарности партнёру.
Мы поддерживаем друг друга в радости и трудностях.,Сделай что-то приятное без повода.
Наши слова полны доброты и уважения.,Слушай партнёра внимательно сегодня.
Я умею слушать и слышать партнёра.,"Скажи: «Я рад(а), что ты есть в моей жизни»."
В моей паре царит взаимность.,Сделай совместное фото с партнёром.
Мы вдохновляем друг друга на лучшее.,"Запиши, что вдохновляет тебя в вашей паре."
Я отношусь к партнёру с вниманием и любовью.,Подари внимание близкому человеку.
"Я ценю всё, что делает мой любимый человек.","Поблагодари за мелочь, которую делает партнёр."
Забота в отношениях приносит радость обоим.,Сделай маленький подарок партнёру.
Мы умеем делиться нежностью каждый день.,Напиши короткое письмо о своей благодарности.
Уважение — основа нашей близости.,Скажи: «Я тебя ценю».
Я выбираю поддерживать и вдохновлять партнёра.,Сделай комплимент партнёру.
Наши отношения — союз равных.,Поделись своим вдохновением.
Я умею говорить слова благодарности.,Скажи добрые слова без причины.
"Я дарю любовь свободно, без ожиданий.",Прими комплимент от партнёра с благодарностью.
Я принимаю заботу и любовь без стеснения.,"Запиши, что для тебя значит забота."
Наши отношения полны доверия.,Поделись с партнёром своей радостью.
Я доверяю партнёру и чувствую себя спокойно.,Произнеси: «Я тебе доверяю».
Мы делимся друг с другом мыслями и чувствами.,Расскажи честно о своих чувствах.
Доверие укрепляет нашу связь.,Слушай партнёра без перебивания.
Я искренен(а) в отношениях.,Скажи что-то искреннее.
Мои слова и поступки честны.,Поделись своим переживанием.
Я открыто выражаю свои чувства.,Напиши о своей мечте в отношениях.
Мы вместе преодолеваем любые трудности.,"Представь, как доверие укрепляется."
Я верю в прочность нашей любви.,Сделай что-то честное сегодня.
У нас крепкая и надёжная связь.,"Запиши три причины, по которым любишь партнёра."
Любовь приносит счастье в мою жизнь.,Вспомни счастливый момент в отношениях.
Наши отношения полны радостных моментов.,Запиши три радостных события.
Мы умеем радоваться простым вещам.,Скажи: «Я счастлив(а) рядом с тобой».
Счастье в отношениях естественно для меня.,Улыбнись партнёру чаще сегодня.
"Я наслаждаюсь временем, проведённым с любимым человеком.","Запиши пять вещей, за которые благодарен(на)."
Я ценю улыбки и смех в нашей паре.,Скажи: «Мне легко с тобой».
Наши чувства делают нас сильнее.,Поделись радостью дня с партнёром.
В моих отношениях легко и светло.,Скажи партнёру: «Ты меня вдохновляешь».
Любовь вдохновляет меня на новые достижения.,Обними любимого человека.
Я чувствую счастье рядом с любимым(ой).,Поделись своим счастьем словами.
Наши отношения дают нам силу.,Скажи: «Ты придаёшь мне силы».
Мы поддерживаем друг друга во всём.,Сделай что-то вместе с партнёром.
Любовь делает нас смелее.,"Напиши три способа, как вы поддерживаете друг друга."
"Мы умеем быть рядом, когда это нужно.",Скажи: «Я рядом с тобой всегда».
Я чувствую себя защищённым(ой) в любви.,Поделись моментом радости.
Наши отношения приносят уверенность.,Скажи партнёру: «Ты делаешь меня сильнее».
Мы вместе создаём прочный союз.,"Запиши, что для тебя значит союз."
"Я вдохновляю партнёра, а он(она) вдохновляет меня.",Скажи: «Ты вдохновляешь меня».
Мы вместе растём и развиваемся.,Поделись чем-то новым вместе.
В нашей любви есть надёжность и сила.,"Вспомни случай, когда вы вместе преодолели трудность."
Наши отношения приносят мир и гармонию.,"Напиши, как партнёр вдохновляет тебя."
Я спокоен(спокойна) рядом с любимым человеком.,Скажи: «Мы вместе — сила».
Любовь наполняет мою жизнь теплом.,"Сделай три вдоха, думая о спокойствии."
Мы умеем находить баланс во всём.,Скажи партнёру: «Мне спокойно рядом с тобой».
Наши отношения спокойные и уверенные.,Сделай практику расслабления на 2 минуты.
Я выбираю мир и согласие в отношениях.,Закрой глаза и представь гармонию.
Любовь делает мой мир мягче.,Запиши три способа находить баланс.
Мы умеем находить решение в диалоге.,Скажи: «Я выбираю мир».
Я чувствую гармонию в нашей паре.,Послушай музыку для спокойствия.
Наши чувства приносят внутренний покой.,Скажи: «Я чувствую гармонию».
Я притягиваю в жизнь гармоничные отношения.,Поделись тёплым словом.
Любовь находит меня легко.,Сделай глубокий вдох и почувствуй мягкость.
"Я встречаю людей, которые ценят меня.","Представь, как мир и гармония входят в отношения."
Я открыт(а) новому знакомству.,Сделай короткую медитацию благодарности.
Я готов(а) к счастливой встрече.,Скажи себе: «Я притягиваю любовь».
Я доверяю миру в вопросах любви.,Представь встречу с гармоничным человеком.
Моя жизнь наполнена возможностями для отношений.,"Запиши качества партнёра, которого хочешь встретить."
"Я верю, что любовь приходит в нужный момент.",Скажи: «Я открыт(а) новому».
Моя энергия притягивает искренние чувства.,Представь счастливое знакомство.
Я создаю условия для счастливых отношений.,Скажи: «Я доверяю миру».
Я благодарен(на) за любовь в моей жизни.,Сделай шаг к новым знакомствам.
"Я ценю заботу, которую получаю.",Напиши о возможностях в отношениях.
Я благодарю за каждый момент нежности.,Представь момент встречи с любовью.
Наши отношения — это подарок.,Скажи: «Я притягиваю искренность».
Я с благодарностью принимаю внимание и ласку.,"Запиши, каким хочешь видеть отношения."
Моя любовь — источник радости.,Скажи: «Спасибо за любовь».
Я благодарю за поддержку и доверие.,"Запиши три вещи, за которые благодарен(на)."
Я ценю простые жесты любви.,Поделись благодарностью с партнёром.
Я благодарен(на) за близость и теплоту.,Скажи: «Ты — подарок».
Любовь делает мою жизнь богаче.,Обними с благодарностью.
Я верю в счастливое будущее с любимым человеком.,Скажи: «Моя любовь — радость».
Наши отношения крепнут с каждым днём.,Поделись словами поддержки.
Мы строим совместные планы и мечты.,Скажи: «Спасибо за заботу».
Наш союз становится прочнее.,Поделись благодарностью словами.
Я вижу наше будущее полным радости.,Скажи: «Я ценю тебя».
Мы вместе двигаемся вперёд.,Подумай о будущем с партнёром.
Я доверяю пути нашей любви.,Скажи: «Я верю в нас».
Наши отношения развиваются гармонично.,Составь список общих планов.
"Я знаю, что впереди нас ждёт счастье.",Скажи: «Наш союз крепок».
Любовь — это наша основа и наше будущее.,Представь радостное будущее.